XMLType,DigitalCollectionsURLs,UMDM,UMAM,SharestreamURLs,ItemControlNumber,FileName,DurationMasters,DurationDerivatives,DigitizationNotes,DigitizedByDept,DigitizedByPers,DateDigitized,PlaybackDevice,AnalogInterface,DigitizationSoftware,Contributor,AlternateTitle,Title,Provider/Publisher,Description/Summary,Collection,AccessionNumber,PhysicalLocation,Repository,CopyrightHolder,Rights,Subjects,Genre,Century,DateAttribute,DateCreated,OriginalBroadcastDate,RecordingNotes,Mono/Stereo,TrackFormat,Frequency,Dimensions,TypeOfMaterial,PlaybackSpeed,MediaType/Form,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,QANotes,NoteToHenry,Finished,Cassette Information
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=5e5406c8c4e4471,1.1.1.14.0,scpa-019938-0003,00:56:10,00:02:16,"Side A; Side B of the second tape is 00:45:47, but is blank so no derivatives of it exist",DCMR,"Peim, Krista Anderson",2013-04-03,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II
UMDM,,,,,1.1.1.15.0,,,,,,,,,,,,,"Lynn Ahrens and Stephen Flaherty - NY - Interviewers: Jackson R. Bryer and Richard A. Davison (two cassettes), December 8, 2003",,"Lynn Ahrens and Stephen Flaherty interviewed by University of Maryland professor Jackson R. Bryer and Richard A. Davison on December 8, 2003.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,2001-2100,,2003-12-08,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,New York,New York,,"Interview begins without introductions; tape hiss, cyclical clicking noise, and hum of tape recorder persisent across recording; conversation cut off at end of Side A and B on first tape; scratchy pops at 00:14:52 and between 00:37:47 and 00:40:10 on Side A of first tape; scratchy pops at 00:32:02 and 00:35:34 on Side B of first tape; pop at 00:00:15 on Side A of second tape.",,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=c964ee07b42f45a,1.1.1.15.0,scpa-019375-0001,00:46:47,00:45:58,Side A,DCMR,unknown,2013-04-08,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90; Oxide:Type I ; Noise reduction: none; Equalization: IEC Type I
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=766ef4ee713443a,1.1.1.15.0,scpa-019375-0002,00:46:53,00:46:04,Side B,DCMR,unknown,2013-04-08,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90; Oxide:Type I ; Noise reduction: none; Equalization: IEC Type I
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=5456cf8f8c4c4ec,1.1.1.15.0,scpa-019375-0003,00:46:47,00:15:19,"Side A; Side B is 00:46:53, but is blank so no derivatives of it exist",DCMR,unknown,2013-04-08,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 90; Oxide:Type I ; Noise reduction: none; Equalization: IEC Type I
UMDM,,,,,1.1.1.16.0,,,,,,,,,,,,,"David Henry Hwang - Louisville, KY - Interviewer: unnamed (two cassettes), circa 1992-1993 and undated",,"David Henry Hwang interviewed by unidentified woman, undated, plus public interview at Actors Theatre in Louisville Kentucky in 1992. ",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,1901-2000,,1992-02-15,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,Kentucky,Louisville,,"Interview begins mid-sentence; tape hiss; silence from 14:08-14:12 and 19:54-20:16, and high-pitched 16 kHz piercing hum begins at 38:30 of Side A of first tape, with end cut off; high-pitched piercing 16 kHz hum throughout entirety of Side B of first tape; tape hiss; question and answer session with long nearly inaudible stretches; sitcom and commercial at end of Side B of first tape; interview begins mid-sentence, tape hiss, and high-pitched hum begins at 33:50 on Side A of second tape; conversation begins mid-sentence and tape hiss on Side B of second tape.",See below.,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=858bf7d1eb2c4fd,1.1.1.16.0,scpa-019352-0001,00:47:08,00:46:59,"Young woman conducts interview, not Bryer; constant hiss on left channel; will split single track on right channel to two channels for derivatives; silence from 14:08-14:12 and 19:54-20:16, and high-pitched 16 kHz piercing hum begins at 38:30 of Side A of first tape; end cut off.; HB removed Hum with Adobe ""DeHummer"" effect, HB remove noise at 7.2 kHz and 16.1 kHz with Adobe ""Parametic EQ"" effect in derivatives from  on ",DCMR,"Cartier, Eric",2013-03-08,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Memorex; Length: 90; Oxide: Type I; Noise reduction: none; Equalization: IEC Type I EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=a17047eb3b4849b,1.1.1.16.0,scpa-019352-0002,00:46:59,00:34:39,"Young woman conducts interview, not Bryer; constant hiss on left channel; will split single track on right channel to two channels for derivatives; question and answer session with long nearly inaudible stretches; sitcom and commercial at end of Side B of first tape; HB reduced hum with Adobe ""DeHummer"" effect, Remove noise at 7.2 kHz using Adobe ""Parametic EQ"" effect in derivatives",DCMR,"Cartier, Eric",2013-03-08,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No content from 32:25-44:21. Please remove and make a note of how much you removed.; It's less than 1 minute - HB,yes,Brand: Memorex; Length: 90; Oxide: Type I; Noise reduction: none; Equalization: IEC Type I EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=f8b1e6e63330498,1.1.1.16.0,scpa-019352-0003,00:46:21,00:46:15,"Side A of second tape is similar to Side A of first tape, but high-pitched hum begins at 33:50 ; ",DCMR,"Cartier, Eric",2013-03-08,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Memorex; Length: 90; Oxide: Type I; Noise reduction: none; Equalization: IEC Type I EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=a9a52087bb59492,1.1.1.16.0,scpa-019352-0004,00:46:13,00:32:44,"Side B of second tape is similar to Side B of first tape; silence from 3:05-3:38; brief incomplete news clip at end of recording.; Removed Hum with Adobe ""DeHummer"" effect, Remove noise at  16.1 kHz with Adobe ""Parametic EQ"" effect in derivatives",DCMR,"Cartier, Eric",2013-03-08,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Memorex; Length: 90; Oxide: Type I; Noise reduction: none; Equalization: IEC Type I EQ
UMDM,,,,,1.1.1.17.0,,,,,,,,,,,,,"Blythe Danner - Wilmington, DE - Interviewers: Jackson R. Bryer and Richard A. Davison (two cassettes), August 25, 1997, and June 24, 1999",,"Blythe Danner interviewed in Wilmington, Delware, by University of Maryland professor Jackson R. Bryer and Richard A. Davidson on August 25, 1997, and over the telephone by Jackson R. Bryer on June 24, 1999. ",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,1901-2000,multiple,1997-08-25; 1999-06-24,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,,,,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=97a75e3c0438456,1.1.1.17.0,scpa-022141-0001,00:46:31,00:46:15,"Side A: face-to-face interview on August 25, 1997 at Hotel Dupont in Wilmington, Delaware",DCMR,"Senthilkumar, Vanathy",2013-07-10,"Tascam 112R ""Fibber""",RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conversation cut off at beginning and end,,yes,Brand: Memorex; Length: 90; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=48db7c98b8554d8,1.1.1.17.0,scpa-022141-0002,00:45:57,00:15:00,"Side B: face-to face interview on August 25, 1997 at Hotel Dupont in Wilmington, Delaware",DCMR,"Senthilkumar, Vanathy",2013-07-10,"Tascam 112R ""Fibber""",RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conversation cut off at beginning and end,,yes,Brand: Memorex; Length: 90; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=8482ae58a6af48b,1.1.1.17.0,scpa-022141-0003,00:46:00,00:45:46,"Side A: phone interview on June 24, 1999",DCMR,"Senthilkumar, Vanathy",2013-07-10,"Tascam 112R ""Fibber""",RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conversation cut off at beginning and end,,yes,Brand: Maxell; Length: 90; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=78174aa902a741f,1.1.1.17.0,scpa-022141-0004,00:45:54,00:25:21,"Side B: phone interview on June 24, 1999",DCMR,"Senthilkumar, Vanathy",2013-07-10,"Tascam 112R ""Fibber""",RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conversation cut off at beginning,,yes,Brand: Maxell; Length: 90; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II EQ
UMDM,,,,,1.1.1.18.0,,,,,,,,,,,,,"Julie Harris - Interviewers: Jackson R. Bryer and Richard A. Davison (two cassettes), October 2 and November 12, 1999",,"Julie Harris interviewed by University of Maryland professor Jackson R. Bryer and Richard A. Davidson on October 2 and November 12, 1999.  ",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,1901-2000,multiple,1999-10-02; 1999-11-12,,Julie Harris 20 min. gap filled by R. Davison 11/10/99,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,,,,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=fc3bc51b8e7f414,1.1.1.18.0,scpa-022241-0001,00:50:46,00:31:40,Side A: extended silence from 00:16:42 - 00:36:09 reduced to 30 seconds; reduced tape hiss with noise filter,DCMR,"Senthilkumar, Vanathy",2013-07-17,"Tascam 112R ""Fibber""",RME Fireface UCX,Adobe Audition CS6,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,reduced extended silence from 00:16:42 - 00:36:09 to 30 seconds; low sound level overall; tape hiss,remove tape hiss,yes,Brand: Maxell; Length: 100; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=df2efc272fc8486,1.1.1.18.0,scpa-022241-0002,00:50:52,00:31:48,Side B; reduced tape hiss with noise filter,DCMR,"Senthilkumar, Vanathy",2013-07-17,"Tascam 112R ""Fibber""",RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conversation cut off at beginning and end; tape hiss,remove tape hiss,yes,Brand: Maxell; Length: 100; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=1b2231a1b679473,1.1.1.18.0,scpa-022241-0003,00:30:47,00:30:24,Side A: from 00:26:24 - 00:29:50 different content has been recorded; reduced tape hiss with noise filter,DCMR,"Senthilkumar, Vanathy",2013-07-17,"Tascam 112R ""Fibber""",RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conversation cut off at end; recording sounds slightly slow,remove tape hiss,yes,Brand: Maxell; Length: 60; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=65ba41b713f445f,1.1.1.18.0,scpa-022241-0004,00:31:12,00:29:40,Side B: sound level really low from 00:01:23 - 00:19:30; from 00:19:30 - 00:29:28 different content has been recorded; reduced tape hiss with noise filter; boosted 00:01:23 - 00:19:30 16dB for clarity,DCMR,"Senthilkumar, Vanathy",2013-07-17,"Tascam 112R ""Fibber""",RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recording sounds slightly slow,increase really low sound level from 00:01:23 - 00:19:30; remove tape hiss,yes,Brand: Maxell; Length: 60; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II EQ
UMDM,,,,,1.1.1.19.0,,,,,,,,,,,,,"Cherry Jones - Interviewer: Jackson R. Bryer (two cassettes), May 24, 1996",,"Cherry Jones interviewed by University of Maryland professor Jackson R. Bryer on May 24, 1996. ",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,1901-2000,,1996-05-24,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,,,,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=a7a29cae5faa411,1.1.1.19.0,scpa-022348-0001,00:46:08,00:45:53,Side A,DCMR,"Senthilkumar, Vanathy",2013-07-23,"Tascam 112R ""Fibber""",RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conversation cut off at beginning and end,,yes,Brand: Maxell; Length: 90; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=be2189754980483,1.1.1.19.0,scpa-022348-0002,00:45:58,00:45:48,Side B,DCMR,"Senthilkumar, Vanathy",2013-07-23,"Tascam 112R ""Fibber""",RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conversation cut off at end,,yes,Brand: Maxell; Length: 90; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=1ab1239da6e343f,1.1.1.19.0,scpa-022348-0003,00:46:17,00:25:49,"Side A: changes from conversation outdoors to telephone call on April 27 (no year given) at 00:08:09; Side B is 00:46:06, but is blank so no derivatives of it exist",DCMR,"Senthilkumar, Vanathy",2013-07-23,"Tascam 112R ""Fibber""",RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Scotch; Length: 90; Oxide: Type I; Noise reduction: none; Equalization: IEC Type I EQ
UMDM,,,,,1.1.1.20.0,,,,,,,,,,,,,"Nathan Lane - Interviewer: Jackson R. Bryer, October 10, 1997",,"Nathan Lane interviewed in New York City by University of Maryland professor Jackson R. Bryer, October 10, 1997.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,1901-2000,,1997-10-10,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,New York,New York,,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=50a8c9c8e3d0431,1.1.1.20.0,scpa-022111-0001,00:46:20,00:46:05,On Side A at 00:04:55 there is a dropout,DCMR,"Senthilkumar, Vanathy",2013-07-09,"Tascam 112R ""Fibber""",RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dropout at 00:04:55; conversation cut off at the beginning and end of Side A,,yes,Brand: Memorex; Length: 90; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=eb0d5b459bc14a5,1.1.1.20.0,scpa-022111-0002,00:46:18,00:25:03,Side B,DCMR,"Senthilkumar, Vanathy",2013-07-09,"Tascam 112R ""Fibber""",RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conversation cut off at the beginning and end of Side B,,yes,Brand: Memorex; Length: 90; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II EQ
UMDM,,,,,1.1.1.21.0,,,,,,,,,,,,,"Maureen Stapleton - Interviewer: Jackson R. Bryer, July 13, 1995",,"Maureen Stapleton interviewed by University of Maryland professor Jackson R. Bryer on July 13, 1995.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,1901-2000,,1995-07-13,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,,,,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=23dfc37ce11f4ec,1.1.1.21.0,scpa-022207-0001,00:46:18,00:32:42,Side A: extended silence between 00:14:07 and 00:27:48 reduced to 30 seconds; reduced tape hiss with noise filter,DCMR,"Senthilkumar, Vanathy",2013-07-17,"Tascam 112R ""Fibber""",RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reduced extended silence between 00:14:07 and 00:27:48 to 30 seconds; audible hum of tape recorder,remove tape hiss,yes,Brand: Maxell; Length: 90; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=70d4009a9df2436,1.1.1.21.0,scpa-022207-0002,00:46:00,00:35:39,Side B: tape recorder shut off at 00:26:22; a film teacher named Ruth joins the conversation from 00:30:00 through the end of the side; reduced tape hiss with noise filter,DCMR,"Senthilkumar, Vanathy",2013-07-17,"Tascam 112R ""Fibber""",RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tape recorder squeaked during opening minutes of the recorder; audible hum of tape recorder; conversation cut off at the beginning and end of Side B,remove tape hiss,yes,Brand: Maxell; Length: 90; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II EQ
UMDM,,,,,1.1.1.22.0,,,,,,,,,,,,,"Eileen Heckart and Richard L. Coe speaking at the University of Maryland to celebrate the 100th anniversary of Broadway, undated",,"Eileen Heckart and Richard L. Coe speaking at the University of Maryland at the second event in a series celebrating the 100th anniversary of Broadway, undated.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,1901-2000,,1993-10-25,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,Maryland,College Park,,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=e4dde34de28348e,1.1.1.22.0,scpa-023264-0001,00:46:11,00:45:49,Side A; reduced tape hiss with noise filter,DCMR,"Senthilkumar, Vanathy",2013-07-17,"Tascam 112R ""Fibber""",RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tape hiss is considerable and might be removed,remove tape hiss ,yes,Brand: Maxell; Length: 90; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=5fa55ce4f2374e2,1.1.1.22.0,scpa-023264-0002,00:46:19,00:45:57,Side B; reduced tape hiss with noise filter,DCMR,"Senthilkumar, Vanathy",2013-07-17,"Tascam 112R ""Fibber""",RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tape hiss is considerable and might be removed,remove tape hiss ,yes,Brand: Maxell; Length: 90; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II EQ
